ID,Form of address,Title,Given name,Family name,Username,Email,Street,ZIP code,Location,State,Country short,Country,Language,Company,attn.,Sex,Date of birth,Creation date,Comment,Member ID,Membership,Standardized Training Number (EFN),Function,Department,Industry,Active,is group,Phone,Fax,Phone 2,Mobile,Aux,URL,VAT ID,Suffix,Photo,Résumé file,is visible,is imported,Additional information,External ID
1,Ms.,Dr.,Josefina,Yaron,yaron,yaron@testemaildomain.com,,,,,DE,Germany,english,Dubravko Institute,,,,07.11.2018,,,,0,,,,1,0,,,,,,,,,,,1,0,,
2,Mr.,Prof.,Gonçalo,Morgan,morgan,morgan@testemaildomain.com,,,,,MA,Morocco,english,Dubravko Institute,,,,29.03.2019,,,,0,,,,1,0,,,,,,,,,,,1,0,,
3,Ms.,Dr.,Kristine,Orfeo,orfeo,orfeo@testemaildomain.com,,,,,,,english,Annis University,,,,11.04.2019,,,,,,Mathematics,,1,0,8018637106,,,,,,,,,,1,0,,
4,Mr.,Dr.,Božo,Orfeo,orfeob,orfeob@testemaildomain.com,,,,,,,english,,,,,26.03.2019,,,,,Researcher,Department of Computer Science and Engineering,,1,0,,,,,,,,,,,1,0,,
5,Mr.,Prof.,Francesco,Klára,klara,klara@testemaildomain.com,,,,,,,english,Klaras University,,,,26.03.2019,,,,,Researcher,Department of Computer Science and Engineering,,1,0,,,,,,,,,,,1,0,,
6,Ms.,Dr.,Simona,Aðalsteinn,adalsteinn,adalsteinn@testemaildomain.com,,,,,,,english,Weierstrass Institute for Applied Analysis and Stochastics,,,,26.03.2019,,,,,Researcher,Department of Computer Science and Engineering,,1,0,,,,,,,,,,,1,0,,
7,Ms.,Prof.,Anna,Æthelred,aethelred,aethelred@testemaildomain.com,,,,,,,english,Universität Berlin,,,,26.03.2019,,,,,Researcher,Department of Computer Science and Engineering,,1,0,,,,,,,,,,,1,0,,
9,Ms.,Dr.,Topic One,Reviewerone,reviewer,revieweroneone@testemaildomain.com,,,,,,,english,Weierstrass Institute for Applied Analysis and Stochastics,,,,26.03.2019,,,,,Researcher,Department of Computer Science and Engineering,,1,0,,,,,,,,,,,1,0,,
10,Ms.,Dr.,Topic One,Reviewertwo,reviewer,revieweronetwo@testemaildomain.com,,,,,,,english,Weierstrass Institute for Applied Analysis and Stochastics,,,,26.03.2019,,,,,Researcher,Department of Computer Science and Engineering,,1,0,,,,,,,,,,,1,0,,
11,Ms.,Dr.,Topic Two,Reviewer,reviewer,reviewertwo@testemaildomain.com,,,,,,,english,Weierstrass Institute for Applied Analysis and Stochastics,,,,26.03.2019,,,,,Researcher,Department of Computer Science and Engineering,,1,0,,,,,,,,,,,1,0,,
12,Ms.,Dr.,Plenary,Speaker,plenaryspeaker,plenaryspeaker@testemaildomain.com,,,,,,,english,Weierstrass Institute for Applied Analysis and Stochastics,,,,26.03.2019,,,,,Researcher,Department of Computer Science and Engineering,,1,0,,,,,,,,,,,1,0,,
13,Ms.,Dr.,Plenary,Chair,plenarycair,plenarychair@testemaildomain.com,,,,,,,english,Weierstrass Institute for Applied Analysis and Stochastics,,,,26.03.2019,,,,,Researcher,Department of Computer Science and Engineering,,1,0,,,,,,,,,,,1,0,,
14,Ms.,Dr.,Semiplenary,Speaker,semiplenaryspeaker,semiplenaryspeaker@testemaildomain.com,,,,,,,english,Weierstrass Institute for Applied Analysis and Stochastics,,,,26.03.2019,,,,,Researcher,Department of Computer Science and Engineering,,1,0,,,,,,,,,,,1,0,,
